Overflow detected max 3942, last max 100
Current pixel max max 910, last max 100
Overflow detected max 3944, last max 1971
Current pixel max max 911, last max 910
Overflow detected max 3941, last max 1972
Current pixel max max 902, last max 911
Overflow detected max 3944, last max 1970
Current pixel max max 914, last max 902
Overflow detected max 3941, last max 1972
Current pixel max max 907, last max 914
Overflow detected max 3937, last max 1970
Current pixel max max 903, last max 907
